"#","County","Total Pres Votes","Total Buchanan","Total Absentee","Buchanan Absentee","Elecday Buch %","Absentee Buch %","Abs/Elec Ratio","Difference"
1,"Alachua      ",85729,263,10694,40,0.297194642500167,0.374041518608566,1.25857423088761,-0.076846876108399
2,"Baker        ",8154,73,1111,4,0.979696152207866,0.36003600360036,0.36749761932715,0.619660148607506
3,"Bay          ",58805,248,12587,37,0.456532087065645,0.293954079605943,0.643884817593718,0.162578007459703
4,"Bradford     ",8673,65,1126,4,0.808268186034186,0.355239786856128,0.439507323180852,0.453028399178058
5,"Brevard      ",218395,570,31811,83,0.261008446597779,0.26091603533369,0.999645945312139,0.0000924112640893759
6,"Broward      ",575143,795,48525,83,0.135202366800983,0.171045852653272,1.26510989933372,-0.0358434858522886
7,"Calhoun      ",5174,90,664,6,1.86252771618625,0.903614457831325,0.485154905335628,0.958913258354927
8,"Charlotte    ",66896,182,9612,23,0.277564415892745,0.239284228048273,0.862085391164608,0.038280187844472
9,"Citrus       ",57204,270,10191,40,0.489226384191607,0.392503189088411,0.80229358385276,0.0967231951031952
10,"Clay         ",57353,186,7831,19,0.337223860102581,0.242625462903844,0.719478932570308,0.0945983971987369
11,"Collier      ",92162,122,13046,25,0.122604782850498,0.1916296182738,1.56298648240722,-0.0690248354233024
12,"Columbia     ",18508,89,2377,11,0.483541007997024,0.462768195204039,0.957040225235429,0.0207728127929857
13,"Desoto       ",7811,36,1468,7,0.457196909979505,0.476839237057221,1.04296251057033,-0.0196423270777157
14,"Dixie        ",4666,29,651,8,0.523038605230386,1.22887864823349,2.34949893936069,-0.705840043003101
15,"Duval        ",264636,652,31728,121,0.227987016332629,0.381366616238023,1.67275585413871,-0.153379599905394
16,"Escambia     ",116648,502,21387,60,0.463988410787206,0.280544255856361,0.604636342921557,0.183444154930844
17,"Flagler      ",27111,83,3773,8,0.321364298568858,0.21203286509409,0.659789734075448,0.109331433474768
18,"Franklin     ",4644,33,846,5,0.737230121116377,0.591016548463357,0.801671732522796,0.14621357265302
19,"Gadsden      ",14727,38,1827,1,0.286821705426357,0.0547345374931582,0.190831225313984,0.232087167933198
20,"Gilchrist    ",5395,29,608,2,0.564027574681429,0.328947368421053,0.583211500974659,0.235080206260376
21,"Glades       ",3365,9,507,3,0.209937018894332,0.591715976331361,2.81854043392505,-0.381778957437029
22,"Gulf         ",6144,71,1427,16,1.16599533601866,1.12123335669236,0.961610498821431,0.0447619793262943
23,"Hamilton     ",3964,23,816,0,0.730622617534943,0,0,0.730622617534943
24,"Hardee       ",6233,30,1056,0,0.579486188912498,0,0,0.579486188912498
25,"Hendry       ",8139,22,1128,4,0.256739409499358,0.354609929078014,1.38120567375887,-0.0978705195786561
26,"Hernando     ",65219,242,9274,24,0.389668424345339,0.258788009488894,0.664123632608081,0.130880414856445
27,"Highlands    ",35149,127,4141,17,0.354747162022704,0.410528857763825,1.15724352923097,-0.0557816957411213
28,"Hillsborough ",360295,847,36952,70,0.240302094061105,0.189434942628275,0.788319982680234,0.0508671514328309
29,"Holmes       ",7395,76,774,5,1.07234556713487,0.645994832041344,0.602412927175456,0.42635073509353
30,"Indian River ",49622,105,6952,15,0.210921021795172,0.215765247410817,1.02296701189106,-0.00484422561564479
31,"Jackson      ",16300,102,1791,8,0.647873733544696,0.446677833612507,0.689451988072751,0.201195899932189
32,"Jefferson    ",5643,29,812,4,0.517491202649555,0.492610837438424,0.95192118226601,0.0248803652111313
33,"Lafayette    ",2505,10,436,2,0.386660222329628,0.458715596330275,1.18635321100917,-0.0720553740006474
34,"Lake         ",88611,289,11790,28,0.339750849377123,0.237489397794741,0.699010460842522,0.102261451582382
35,"Lee          ",184377,305,20365,48,0.156695851523059,0.235698502332433,1.50417831768665,-0.0790026508093738
36,"Leon         ",103124,282,18648,57,0.26634783843932,0.305662805662806,1.14760760760761,-0.0393149672234857
37,"Levy         ",12724,67,1516,1,0.588865096359743,0.0659630606860158,0.112017270328616,0.522902035673727
38,"Liberty      ",2410,39,211,0,1.77353342428377,0,0,1.77353342428377
39,"Madison      ",6162,29,737,4,0.460829493087558,0.542740841248304,1.17774762550882,-0.0819113481607463
40,"Manatee      ",110221,271,13441,33,0.24591857821864,0.245517446618555,0.99836884385478,0.000401131600085036
41,"Marion       ",102956,563,11470,55,0.555276217126118,0.47951176983435,0.863555389272941,0.0757644472917672
42,"Martin       ",62013,112,9980,27,0.163357869044645,0.270541082164329,1.65612519155959,-0.107183213119684
43,"Miami-Dade   ",625449,560,41474,45,0.0881887067083351,0.108501711915899,1.23033567409878,-0.020313005207564
44,"Monroe       ",33887,47,6732,8,0.143619959491806,0.11883541295306,0.827429650959063,0.0247845465387463
45,"Nassau       ",23780,90,3632,7,0.411951558467342,0.19273127753304,0.467849371052492,0.219220280934302
46,"Okaloosa     ",70680,267,14245,32,0.416408257287144,0.224640224640225,0.539471109683876,0.19176803264692
47,"Okeechobee   ",9853,43,1710,8,0.429817020754022,0.467836257309941,1.0884544695071,-0.0380192365559197
48,"Orange       ",280125,446,38866,64,0.158336062074368,0.164668347656049,1.03999269338091,-0.00633228558168078
49,"Osceola      ",55658,145,5581,20,0.249615591988338,0.358358717075793,1.43564235800036,-0.108743125087455
50,"Palm Beach   ",433186,3411,45830,101,0.854511095736222,0.220379663975562,0.257901465616066,0.63413143176066
51,"Pasco        ",142731,570,14571,56,0.401061173533084,0.384325029167525,0.958270345099415,0.0167361443655591
52,"Pinellas     ",398472,1013,45116,129,0.250172630435029,0.28592960368827,1.14292919729494,-0.0357569732532416
53,"Polk         ",168607,533,20896,69,0.314126909979622,0.3302067381317,1.05118895465887,-0.0160798281520775
54,"Putnam       ",26222,148,3086,16,0.570539419087137,0.518470511989631,0.908737406469098,0.0520689070975063
55,"Santa Rosa   ",50319,311,7775,23,0.676946220383603,0.295819935691318,0.436991782779564,0.381126284692285
56,"Sarasota     ",160942,305,21378,40,0.189877045656473,0.187108242118065,0.985417913319459,0.00276880353840772
57,"Seminole     ",137634,194,15466,20,0.142426822081069,0.129315918789603,0.907946388890128,0.0131109032914657
58,"St. Johns    ",60746,229,9613,34,0.381358418242622,0.353687714553209,0.927441738884577,0.027670703689413
59,"St. Lucie    ",77989,124,8871,16,0.156254521253508,0.180362980498253,1.15428967463687,-0.0241084592447442
60,"Sumter       ",22261,114,2935,14,0.517437648763324,0.477001703577513,0.921853492333901,0.0404359451858112
61,"Suwannee     ",12457,108,1664,14,0.870934865190401,0.841346153846154,0.966026493453355,0.0295887113442473
62,"Taylor       ",6808,27,1106,2,0.438442651701157,0.180831826401447,0.41244122965642,0.257610825299711
63,"Union        ",3826,37,661,3,1.07424960505529,0.453857791225416,0.4224882085966,0.620391813829876
64,"Volusia      ",183653,498,28018,82,0.267292061554278,0.292668998500964,1.09494085532927,-0.025376936946686
65,"Wakulla      ",8587,46,1101,6,0.534330750734705,0.544959128065395,1.01989100817439,-0.0106283773306903
66,"Walton       ",18318,120,3084,19,0.662990678744913,0.616083009079118,0.929248372308048,0.0469076696657946
67,"Washington   ",8025,88,1079,9,1.13734523466743,0.834105653382762,0.733379477012236,0.303239581284673
